Carbohydrate degradation	Amino Acid Degradation	Carboxylate Degradation	Nucleoside and Nucleotide Degradation	Secondary Metabolite Degradation	Amino Acid Biosynthesis	Aromatic Compound Biosynthesis	Carbohydrate Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Fatty Acid and Lipid Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Secondary Metabolite Biosynthesis	Fermentation	Glycolysis	Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	Aminoacyl-tRNA Charging	Group
SRR5983480	-3.80172741056032	-7.29533528836444	-4.88572329554549	-4.00673433012704	-9	-4.22780815480556	-3.57652743663668	-7.29850315814541	-3.7575795136313	-3.7739365873883	-3.85487164396996	-3.49304196825793	-6.28180529220532	-3.72211432546434	-4.17123386899533	-6.72104919140763	-3.80763887160754	CD
SRR6468502	-3.52634476839	-6.57765674691181	-4.26000149897727	-3.52508925141918	-9	-4.36176608686232	-3.1377194857794	-7.43189061785554	-3.71821031354675	-3.83597738108845	-3.85103029837124	-3.16174737210936	-6.27443175370608	-4.08900753322092	-4.35282102959999	-6.82329291683692	-3.42309224772399	CD
SRR6468505	-3.6375076608839	-6.78966326256664	-4.53062912634492	-3.74987110955682	-9	-4.04456450923384	-3.27251969511259	-7.36358833221056	-3.58608930602126	-3.9999985981348	-3.76401298945183	-3.26989714334749	-6.23259073917449	-4.04378296016685	-4.44710250511494	-6.62348132062502	-3.61559640202868	CD
SRR6468507	-3.48443976612577	-7.02568203768869	-4.69074816691306	-3.72049253910131	-9	-3.99142032743764	-3.04388443270966	-7.66970021811892	-3.76768821490936	-4.61316105484743	-3.85090699251305	-2.99592336205309	-6.19426813722257	-4.01072971521102	-4.37493958062736	-9	-3.29795826216262	CD
SRR6468514	-3.81496897174945	-6.7909720523255	-4.78803065395679	-4.09537173007578	-9	-3.92289750976432	-3.09855685465271	-7.54763405547502	-3.71874592408412	-5.09713786235442	-3.98230521766669	-3.12344328784585	-6.21568994657839	-4.81883151014839	-4.99462060979141	-6.81174254472216	-3.25803495978978	CD
SRR6468517	-3.62288279092762	-6.64488883595451	-4.74071774356591	-3.44664244715725	-9	-4.50125638146033	-3.13598322420778	-8.09569312322492	-3.84785533048697	-5.70052713716833	-3.79539347393359	-3.22101209150927	-6.23944817990422	-4.04488608572627	-4.77524242967831	-7.09082040120037	-3.51407708491762	CD
SRR6468518	-3.76392724636933	-6.97823437669019	-4.72061082675842	-3.80682551306194	-9	-4.15769450453289	-3.31863251046445	-7.46764272956226	-3.74211185106221	-4.30865745651888	-3.91918242667878	-3.36593000885066	-6.25427673112827	-4.16922392064064	-5.26618045628495	-9	-3.41841553447915	CD
SRR6468520	-3.64421978162237	-6.58925404430032	-4.80491208040072	-3.47032509885319	-9	-4.06241606492211	-3.03009589060925	-7.66566259360371	-3.87947530829187	-4.52748561601511	-4.01379093037506	-3.07415284907826	-6.3216613188306	-4.60761376235701	-4.94496267404523	-6.64004570945521	-3.42707962949972	CD
SRR6468521	-3.95204110468062	-6.91401982299366	-9	-3.93616537002802	-9	-5.69004654537532	-4.520844866512	-9	-5.70875852499549	-5.39976259340768	-5.19610826321112	-5.97845513866004	-6.35686969451447	-3.79261051154662	-4.91314648601756	-9	-3.42378884245391	CD
SRR6468525	-3.69656933741301	-7.09954184336443	-4.93258203186844	-3.76262080743805	-9	-4.22304570977226	-3.18305668615524	-7.44406036214157	-3.69122086460733	-4.60600543072137	-3.85362766260114	-3.22509198039651	-6.33135526304902	-4.45755335958419	-4.62500115334758	-7.02315469754315	-3.63866509495292	CD
SRR6468526	-3.6583268172162	-6.89205041424897	-4.39830444048795	-3.52887049619183	-9	-4.21610791747499	-3.24530513572717	-7.4166502756412	-3.8025959828607	-3.88191939365259	-3.88755005119564	-3.26787252823015	-6.23923013382938	-3.93178093355529	-4.14939509913209	-7.55547330840068	-3.43612040092837	CD
SRR6468527	-3.84452817882012	-6.49190759926629	-4.90124002111761	-3.78668205150309	-9	-4.425986283006	-3.20714075237082	-7.23861486486326	-3.6633522561813	-3.91391847861409	-4.00582011219678	-3.15715558123368	-6.24150306214161	-3.97358959430799	-5.26446261595057	-6.69842239861426	-3.37428225947377	CD
SRR6468534	-3.46690159892504	-7.54219694216435	-4.88469427622939	-3.78056392416806	-9	-4.40991192841994	-3.14622648009462	-7.56292889839296	-3.62448608052595	-4.28242112228592	-4.0880222949259	-3.21954010710911	-6.27058320537504	-4.1878741129737	-4.38485267906135	-9	-3.45331054018818	CD
SRR6468539	-3.67591002329346	-6.51113682590365	-4.56615168507353	-3.6029852079971	-9	-4.35731085455107	-3.17731075972693	-7.23931563259027	-3.87903157584594	-4.33821091672588	-4.06748654377115	-3.17430585789781	-6.28516473804875	-4.15092342187246	-4.41403363124085	-7.15649741325662	-3.57835659360813	CD
SRR6468551	-3.82836799808043	-7.32819823029847	-4.93595934768685	-3.97165337158255	-9	-4.26366331641101	-3.59086326751378	-7.54755074271091	-3.97202797211181	-4.15895646895023	-4.13930809821628	-3.58915362232633	-6.38776450755431	-4.26561387700323	-4.529151922201	-6.98017597021189	-3.83754612264278	CD
SRR6468552	-3.59651245121495	-6.80962672923056	-7.01182799142076	-3.94884938432866	-9	-4.04426436571448	-3.26942483068033	-7.52068853806362	-3.70879588055159	-5.97755642070617	-3.97626547794577	-3.30802518750521	-6.24565826344189	-3.94132681076869	-6.55395854500533	-7.0001079490063	-3.42293811165204	CD
SRR6468554	-3.99162424231307	-7.35589439681586	-4.30721384631174	-3.86913065650859	-9	-4.50857386129661	-3.44643120950379	-7.80022933224114	-4.254863975202	-4.04911898311304	-3.79017631185185	-3.5820535827101	-6.2166382063542	-3.82686898242086	-4.24820412226087	-9	-3.88762292882869	CD
SRR6468555	-3.62207674216507	-6.74217697790538	-4.56194724452385	-3.68636336654037	-9	-4.17617972936853	-3.34816906123508	-7.55294950069038	-3.79337208961637	-4.43835215413143	-3.94627483571109	-3.39915338372293	-6.28309727255947	-4.04823794050109	-4.31088359930864	-7.09651645120629	-3.51536140072042	CD
SRR6468557	-3.63927860731476	-6.64962045908166	-4.54718872979749	-3.64437919044471	-9	-4.32826707666083	-3.24188679991405	-7.69941166724106	-3.75879536242255	-4.72182314769975	-3.90697031142349	-3.22900741747269	-6.26814799779628	-4.20977164787302	-4.81303936635624	-6.59785666396804	-3.39582364514749	CD
SRR6468559	-3.64246873220815	-6.89026275100304	-4.64728186856166	-3.96063806701344	-9	-4.07796760990411	-3.2944545078811	-7.27724216603655	-3.61606240243539	-3.65604900555193	-3.73249471925049	-3.26323231468622	-6.21661329528889	-3.83206794312694	-4.34434544956962	-6.75566754235337	-3.5561005139528	CD
SRR6468560	-3.71436324417873	-6.89599980587893	-5.1507798183454	-3.76094377098012	-9	-4.09639846141647	-3.19013058326756	-7.88155000836041	-3.60409659011461	-4.67026481308272	-3.79467479913497	-3.21647302013557	-6.57308432095705	-5.55366696488455	-5.04278214693135	-6.68462593095755	-3.36466405909525	CD
SRR6468561	-3.68635246270753	-6.65034178343707	-3.86860260253521	-3.6350095067842	-9	-4.06575728244927	-3.53609211392581	-7.24416658020225	-3.68733132220819	-3.57947471113633	-3.97665315752421	-3.6465723607626	-6.25810972320364	-3.59894349570115	-3.77101951143433	-6.83971500798718	-3.79070218700323	CD
SRR6468563	-5.39654712658475	-9	-9	-4.5072416822257	-9	-5.50990686455193	-4.13248376413353	-7.80594060857136	-5.92132252619883	-6.31559546780987	-5.45107048154771	-5.33608810207904	-6.69415569766554	-4.77522533784307	-7.04746814669231	-9	-4.9156132087266	CD
